Junction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
26,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.182902801,1000,1000,1000,1000,0.220149501,0,0.300979778,1000,1000,1000,0.693756279,1000,1000,1000,1000,1000,1000
27,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.174586997,1000,1000,1000,1000,0.300979778,0,0.254276822,1000,1000,1000,0.705831267,1000,1000,1000,1000,1000
28,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.66030394,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.254276822,0,0.327199929,1000,1000,1000,0.696317984,1000,1000,1000,1000
29,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.408712874,1000,1000,1000,1000,1000,0.327199929,0,0.376093668,1000,1000,1000,1000,1000,1000,1000
30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.645821393,1000,1000,1000,1000,0.376093668,0,1000,1000,1000,1000,1000,1000,0.830786206
31,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.693756279,1000,1000,1000,1000,0,0.299405489,1000,1000,0.277611767,1000,1000
32,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.705831267,1000,1000,1000,0.299405489,0,0.253469887,1000,1000,1000,1000
33,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.696317984,1000,1000,1000,1000,0,1000,1000,0.20112734,1000
34,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1.007237418,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,1000
35,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.277611767,1000,1000,0.222719123,0,0.556946908,1000
36,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.20112734,1000,0.556946908,0,0.658977018
37,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0.830786206,1000,1000,1000,1000,1000,0.658977018,0
