Junction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
11,0.855399479,0.546641873,0.812262666,0.343205794,0.300487628,0.351925245,0.503499094,0.543897009,0.321434179,0.175472376,0,0.114928334,0.215983291,0.644760778,0.459969221,0.253100596,0.24432051,0.441163101,0.625051769,0.791681517,0.66130511,0.530668595,0.668515914,0.817076824,1.078102126,0.949804545,0.830289485,0.820876594,0.901226717,1.123963906,1.586652357,1.526894081,1.515669231,1.955346023,1.853345392,1.716514445,1.795377473
12,0.78883739,0.431964778,0.734711499,0.255316143,0.185617805,0.260352187,0.443628399,0.519791087,0.355354339,0.216228313,0.114928334,0,0.182493109,0.64698375,0.512297584,0.36794736,0.326154749,0.488535493,0.658857861,0.81473412,0.722587766,0.645204066,0.770139881,0.916319053,1.091079371,0.983194345,0.895707103,0.910977347,1.010261885,1.238813124,1.641106874,1.599132667,1.601425849,2.00319937,1.911786163,1.801559564,1.902377455
13,0.948201191,0.480734872,0.603968349,0.40909142,0.265117894,0.185869989,0.288855257,0.701504027,0.525414248,0.379610588,0.215983291,0.182493109,0,0.828691278,0.673014601,0.406116103,0.261518236,0.344779542,0.494622353,0.991876728,0.876844109,0.684104704,0.710645765,0.845410587,1.271513313,1.156425999,1.046254341,1.029479278,1.079419878,1.259130603,1.801640232,1.742171335,1.725621518,2.168798231,2.069010023,1.926692408,1.975001601
14,0.489290381,0.790027579,1.325018719,0.514121158,0.685053478,0.863826346,1.076114822,0.176972047,0.336123359,0.471580723,0.644760778,0.64698375,0.828691278,0,0.298597004,0.719239038,0.860729615,1.078443194,1.266616721,0.205327459,0.361458906,0.826241462,1.159936437,1.306335638,0.446699397,0.387784986,0.483093326,0.674877299,0.95727512,1.312903268,1.081533729,1.12586543,1.215958386,1.412137149,1.359144884,1.397443402,1.709126126
15,0.737221817,0.813414313,1.245220092,0.510431898,0.627569764,0.768368738,0.953767254,0.344122971,0.164655511,0.296571192,0.459969221,0.512297584,0.673014601,0.298597004,0,0.450158402,0.626219522,0.850579867,1.041384313,0.360154872,0.213008657,0.527657762,0.86988475,1.013713111,0.653874217,0.496958683,0.387590756,0.469773598,0.697282871,1.03398751,1.129767936,1.093421992,1.120360299,1.495824946,1.399577536,1.316709043,1.519817019
16,1.039697472,0.799727065,1.001863923,0.57531422,0.553559763,0.579776467,0.679819704,0.676193466,0.391483406,0.304652213,0.253100596,0.36794736,0.406116103,0.719239038,0.450158402,0,0.213532937,0.425663606,0.611777024,0.810217773,0.597726821,0.282042818,0.459012338,0.610125316,1.103736485,0.935136083,0.741872848,0.66030394,0.673604957,0.872025051,1.502184088,1.398447651,1.351344418,1.881783951,1.755329496,1.551936171,1.568937186
17,1.099603758,0.728050424,0.815402549,0.578900884,0.490345698,0.447262751,0.494344257,0.77946983,0.525040345,0.394556162,0.24432051,0.326154749,0.261518236,0.860729615,0.626219522,0.213532937,0,0.224400756,0.415168232,0.98193447,0.796964863,0.454244736,0.45463209,0.59576855,1.274861728,1.122036577,0.948944879,0.873483122,0.861885775,1.006492293,1.711259449,1.611924626,1.562612436,2.089375553,1.966766851,1.762856788,1.750157404
18,1.277282366,0.816600576,0.728929384,0.740469466,0.609788521,0.496594954,0.438717519,0.985054096,0.744571026,0.607739795,0.441163101,0.488535493,0.344779542,1.078443194,0.850579867,0.425663606,0.224400756,0,0.190836943,1.205528063,1.01917127,0.612443309,0.452579765,0.557025133,1.498011586,1.346406882,1.167358778,1.073593501,1.016107132,1.092429336,1.927746601,1.816316278,1.751244376,2.307441229,2.179451659,1.949674604,1.881102881
19,1.442115892,0.933877243,0.711992239,0.902768093,0.754396883,0.609635181,0.483447057,1.16736918,0.93396142,0.795165841,0.625051769,0.658857861,0.494622353,1.266616721,1.041384313,0.611777024,0.415168232,0.190836943,0,1.396234215,1.207944047,0.7697619,0.525646763,0.586288341,1.688536578,1.537020105,1.353287948,1.247724941,1.161182022,1.188447938,2.111454679,1.990936412,1.91436001,2.492204184,2.359960391,2.110805654,2.000313661
20,0.647775503,0.994126401,1.516654038,0.711930949,0.876066948,1.048001979,1.254259819,0.382249017,0.470247626,0.616655095,0.791681517,0.81473412,0.991876728,0.205327459,0.360154872,0.810217773,0.98193447,1.205528063,1.396234215,0,0.289506586,0.850261346,1.216309186,1.354904368,0.293825003,0.182902801,0.338948296,0.574296796,0.888557704,1.260368134,0.876411131,0.927067198,1.033054388,1.211447804,1.154017636,1.207889449,1.564123109
